City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
52,hermanus,8,ZA,1525129459,81,-34.42,19.24,41.77,2.48
53,mahebourg,40,MU,1525125600,73,-20.41,57.7,77.0,11.41
54,hobyo,44,SO,1525129502,93,5.35,48.53,80.74,14.12
55,cayenne,90,GF,1525127400,94,4.94,-52.33,75.2,5.82
56,ponta do sol,8,BR,1525129439,73,-20.63,-46.0,63.19,1.59
57,kaitangata,12,NZ,1525129463,81,-46.28,169.85,54.91,14.67
58,bad hersfeld,36,DE,1525129517,66,50.87,9.71,46.27,19.15
59,bluff,8,AU,1525129444,51,-23.58,149.07,72.37,12.44
60,cap malheureux,40,MU,1525125600,73,-19.98,57.61,77.0,11.41
61,takoradi,24,GH,1525129518,97,4.89,-1.75,81.64,5.17
62,port alfred,0,ZA,1525129435,89,-33.59,26.89,67.24,16.8
63,sinnamary,88,GF,1525129518,97,5.38,-52.96,79.66,10.09
64,tecoanapa,75,MX,1525124700,62,16.99,-99.26,86.0,9.17
65,souillac,0,FR,1525127400,81,45.6,-0.6,48.2,1.12
66,hilo,90,US,1525125360,73,19.71,-155.08,77.0,5.82
67,barrow,0,AR,1525129442,85,-38.31,-60.23,44.02,3.71
68,sorong,0,ID,1525129475,100,-0.86,131.25,81.28,10.65
69,saint-philippe,90,CA,1525127700,87,45.36,-73.48,50.0,4.7
70,mount gambier,20,AU,1525129459,79,-37.83,140.78,54.91,5.17
71,victoria,75,BN,1525127400,94,5.28,115.24,78.8,3.38
72,touros,68,BR,1525129500,92,-5.2,-35.46,77.95,11.43
73,cabedelo,75,BR,1525125600,94,-6.97,-34.84,75.2,6.93
74,dali,8,CN,1525129519,100,25.6,100.24,49.42,1.92
75,airai,0,TL,1525129457,68,-8.93,125.41,74.08,2.04
76,xuddur,24,SO,1525129473,95,4.12,43.89,71.47,9.53
77,sandwick,0,GB,1525125000,86,54.57,-2.89,33.8,5.82
78,ketchikan,90,US,1525125180,53,55.34,-131.65,51.8,5.82
79,caravelas,32,BR,1525129504,97,-17.73,-39.27,79.57,10.54
80,kondagaon,8,IN,1525129519,64,19.59,81.66,76.15,12.77
81,port blair,88,IN,1525129487,100,11.67,92.75,85.87,12.1
82,vaini,92,IN,1525129436,94,15.34,74.49,70.84,2.71
83,lulea,8,SE,1525126800,93,65.58,22.15,35.6,4.7
84,villarrica,36,CL,1525129520,81,-39.28,-72.23,49.06,3.94
85,kapaa,20,US,1525125360,61,22.08,-159.32,77.0,9.17
86,kavieng,44,PG,1525129435,100,-2.57,150.8,81.73,5.73
87,umm kaddadah,0,SD,1525129520,29,13.6,26.69,65.62,2.71
88,cape town,0,ZA,1525125600,87,-33.93,18.42,50.0,2.24
89,constitucion,5,MX,1525124520,9,23.99,-104.67,82.4,19.46
90,dingle,20,PH,1525129454,78,11.0,122.67,82.99,8.97
91,inhambane,76,MZ,1525129520,100,-23.87,35.38,74.08,9.19
92,butaritari,64,KI,1525129436,100,3.07,172.79,82.81,12.66
93,sambava,56,MG,1525129473,100,-14.27,50.17,77.68,20.15
94,east london,0,ZA,1525129211,100,-33.02,27.91,70.39,20.27
95,tuktoyaktuk,90,CA,1525125600,86,69.44,-133.03,33.8,17.22
96,kalmunai,0,LK,1525129521,100,7.42,81.82,73.27,2.93
97,longyearbyen,90,NO,1525125000,92,78.22,15.63,26.6,2.24
98,lungi,36,SL,1525129521,77,9.22,-12.68,79.12,9.64
99,bandarbeyla,76,SO,1525129521,100,9.49,50.81,79.84,9.75
100,marawi,0,PH,1525129521,80,8.0,124.29,77.32,1.7
101,anaco,76,VE,1525129521,68,9.43,-64.46,79.84,16.58
102,olonets,44,RU,1525129521,77,60.98,32.97,41.59,5.5
103,avarua,75,CK,1525125600,74,-21.21,-159.78,80.6,8.05
104,charlestown,90,US,1525128660,66,41.38,-71.64,50.0,6.93
105,kununurra,0,AU,1525127400,77,-15.77,128.74,69.8,2.24
106,sechura,8,PE,1525129522,71,-5.56,-80.82,73.99,11.54
107,rocha,0,UY,1525129522,87,-34.48,-54.34,56.44,8.97
108,selikhino,0,RU,1525129522,62,50.37,137.51,45.01,5.17
109,college,90,US,1525125780,93,64.86,-147.8,39.2,5.82
110,esperance,20,TT,1525125600,69,10.24,-61.45,82.4,14.99
111,adrar,0,DZ,1525125600,9,27.87,-0.29,77.0,9.17
112,torbay,90,CA,1525125600,93,47.66,-52.73,35.6,6.93
113,sussex,90,CA,1525128300,93,45.72,-65.51,48.2,5.82
114,guerrero negro,0,MX,1525129493,69,27.97,-114.04,64.09,15.46
115,seydi,0,NE,1525129523,57,13.34,7.75,73.72,3.04
116,mercedes,80,UY,1525129523,96,-33.25,-58.03,63.91,13.78
117,tabuk,0,PH,1525129461,72,17.41,121.44,75.43,2.04
118,hithadhoo,76,MV,1525129451,99,-0.6,73.08,85.24,18.03
119,luderitz,0,NA,1525129523,83,-26.65,15.16,58.96,4.16
120,tasiilaq,0,GL,1525125000,68,65.61,-37.64,26.6,5.82
121,nouadhibou,36,MR,1525125600,52,20.93,-17.03,66.2,20.8
122,vaitape,32,PF,1525129524,98,-16.52,-151.75,83.44,11.54
123,ginda,20,IN,1525129524,63,30.69,78.49,46.72,2.59
124,kjollefjord,76,NO,1525129524,94,70.95,27.35,30.16,5.61
125,sverdlovskiy,0,RU,1525127400,76,55.9,38.14,53.6,11.18
126,geraldton,75,CA,1525125600,38,49.72,-86.95,59.0,12.75
127,hasaki,20,JP,1525127400,88,35.73,140.83,66.2,4.7
128,cherskiy,76,RU,1525129443,93,68.75,161.3,19.81,3.04
129,suleja,0,NG,1525129524,93,9.18,7.18,73.63,3.04
130,big bend,92,SZ,1525125600,93,-26.79,31.94,59.0,6.93
131,lorengau,68,PG,1525129460,100,-2.02,147.27,83.35,5.95
132,saskylakh,80,RU,1525129448,98,71.97,114.09,34.57,15.46
133,yellowknife,75,CA,1525125600,48,62.45,-114.38,39.2,14.99
134,kirundo,40,BI,1525127400,100,-2.59,30.09,64.4,2.24
135,seda,64,LV,1525129525,66,57.65,25.75,53.2,10.76
136,ilulissat,75,GL,1525125000,53,69.22,-51.1,21.2,2.24
137,saint anthony,90,US,1525126980,86,43.97,-111.68,42.8,3.36
138,kargil,44,PK,1525129525,76,34.56,76.13,1.09,0.92
139,graz,0,AT,1525127400,54,47.07,15.44,59.0,6.93
140,schitu,0,RO,1525127400,72,44.35,24.57,59.0,4.7
141,peleduy,64,RU,1525129526,66,59.63,112.75,39.97,5.17
142,kodiak,1,US,1525125180,32,39.95,-94.76,82.4,26.4
143,beringovskiy,0,RU,1525129490,95,63.05,179.32,32.86,8.52
144,banda aceh,20,ID,1525129526,100,5.56,95.32,75.79,3.38
145,naze,75,NG,1525125600,83,5.43,7.07,80.6,3.36
146,xai-xai,76,MZ,1525129526,100,-25.04,33.64,71.83,7.96
147,gimli,88,CA,1525129527,77,50.63,-96.99,42.67,20.04
148,aquiraz,20,BR,1525125600,88,-3.9,-38.39,80.6,8.05
149,teahupoo,20,PF,1525127400,62,-17.83,-149.27,86.0,9.17
150,sao filipe,8,CV,1525129452,97,14.9,-24.5,71.02,20.49
151,new norfolk,0,AU,1525127400,62,-42.78,147.06,57.2,11.41
152,broken hill,68,AU,1525129500,43,-31.97,141.45,65.44,9.64
153,port moresby,75,PG,1525125600,78,-9.47,147.16,78.8,5.82
154,abha,0,SA,1525125600,82,18.22,42.5,66.2,1.48
155,evensk,80,RU,1525129466,93,61.92,159.24,31.87,2.71
